# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 6792.40 1511.12 10.5000 1340.56 10.4093
 7466.50 1633.78 11.0000 1400.53 10.2133
 8170.16 1759.38 11.5000 1459.11 10.0257
 8902.70 1887.72 12.0000 1516.22 9.8459
 9663.36 2018.58 12.5000 1571.80 9.6730
 10451.39 2151.75 13.0000 1625.73 9.5065
 11230.01 2281.03 13.5000 1534.43 9.3376
 11966.67 2401.04 14.0000 1453.72 9.1581
 12666.10 2512.68 14.5000 1381.81 8.9682
 13332.26 2616.68 15.0000 1317.30 8.7680
 13968.50 2713.67 15.5000 1259.06 8.5576
 14577.66 2804.19 16.0000 1206.20 8.3371
 15162.19 2888.71 16.5000 1157.99 8.1066
 15724.21 2967.61 17.0000 1113.81 7.8662
 16265.58 3041.25 17.5000 1073.16 7.6159
 16787.91 3109.94 18.0000 1035.61 7.3559
 17292.61 3173.93 18.5000 1000.79 7.0862
 17780.96 3233.47 19.0000 968.42 6.8067
 18254.07 3288.77 19.5000 938.23 6.5177
 18712.96 3340.03 20.0000 910.00 6.2191
 19158.53 3387.41 20.5000 883.54 5.9110
 19591.59 3431.07 21.0000 858.69 5.5934
 20012.90 3471.15 21.5000 835.29 5.2664
 20423.12 3507.78 22.0000 813.23 4.9300
